"eta","q","transformation","metric","group","mean","sd"
-0.7,0,"boxcox","kurtosis","A",2.34340246110974,0.0466750490253327
-0.7,0,"boxcox","kurtosis","B",2.07939657322556,0.035429401108383
-0.7,0.3,"original","skewness","A",2.24942174312425,0.0817158421248462
-0.7,0.3,"original","skewness","B",2.68641969136418,0.113236189309253
-0.7,0.3,"original","kurtosis","A",8.43340534317525,0.548000682874085
-0.7,0.3,"original","kurtosis","B",11.3694678418472,0.923322272470866
-0.7,0.3,"logit","skewness","A",-0.304815241988948,0.0360392905593821
-0.7,0.3,"logit","skewness","B",-0.00140228842038291,0.0424398338617548
-0.7,0.3,"logit","kurtosis","A",1.58913741661918,0.0526100791769362
-0.7,0.3,"logit","kurtosis","B",1.71980708417473,0.0417777894135219
-0.7,0.3,"log","skewness","A",-0.341426765729704,0.0371278166295076
-0.7,0.3,"log","skewness","B",-0.0337357701203456,0.0430921878502422
-0.7,0.3,"log","kurtosis","A",1.57308342780532,0.0555958086721374
-0.7,0.3,"log","kurtosis","B",1.69149160986002,0.0428226956947233
-0.7,0.3,"tangent","skewness","A",-0.78958895520383,0.050458502942449
-0.7,0.3,"tangent","skewness","B",-0.507942642116717,0.0473151101108007
-0.7,0.3,"tangent","kurtosis","A",1.772438832363,0.1093075735843
-0.7,0.3,"tangent","kurtosis","B",1.52708653739844,0.0752178849939971
-0.7,0.3,"arcsine","skewness","A",1.17848851096039,0.047376787771966
-0.7,0.3,"arcsine","skewness","B",1.54343529143121,0.0636667164323689
-0.7,0.3,"arcsine","kurtosis","A",3.87868908708359,0.190331273130819
-0.7,0.3,"arcsine","kurtosis","B",5.42882707954743,0.367582056048281
-0.7,0.3,"dual_group_logit","skewness","A",-0.304815241988948,0.0360392905593821
-0.7,0.3,"dual_group_logit","skewness","B",-0.00140228842038291,0.0424398338617548
-0.7,0.3,"dual_group_logit","kurtosis","A",1.58913741661918,0.0526100791769362
-0.7,0.3,"dual_group_logit","kurtosis","B",1.71980708417473,0.0417777894135219
-0.7,0.3,"dual_group_boxcox","skewness","A",-0.241121946391759,0.0269121744531172
-0.7,0.3,"dual_group_boxcox","skewness","B",0.064280103417242,0.0308088027483933
-0.7,0.3,"dual_group_boxcox","kurtosis","A",1.50164766660278,0.0329166232127372
-0.7,0.3,"dual_group_boxcox","kurtosis","B",1.57388178614152,0.0270324879752892
-0.7,0.3,"boxcox","skewness","A",-0.24411195555167,0.0280488700416478
-0.7,0.3,"boxcox","skewness","B",0.060507922230699,0.0316758085443727
-0.7,0.3,"boxcox","kurtosis","A",1.50463608795398,0.0328741348712404
-0.7,0.3,"boxcox","kurtosis","B",1.57510880556718,0.0289688638948249
-0.7,0.5,"original","skewness","A",2.72904259945134,0.09834640214788
-0.7,0.5,"original","skewness","B",3.11947334245114,0.112462685175294
-0.7,0.5,"original","kurtosis","A",11.047000138366,0.726590906627271
-0.7,0.5,"original","kurtosis","B",14.0045571524182,0.95678608104643
-0.7,0.5,"logit","skewness","A",0.376420287876629,0.0374242985530872
-0.7,0.5,"logit","skewness","B",0.639521167610014,0.0438631418140786
-0.7,0.5,"logit","kurtosis","A",1.49108784093675,0.0400042654548364
-0.7,0.5,"logit","kurtosis","B",1.97786265676973,0.0797779031792923
-0.7,0.5,"log","skewness","A",0.35273145983197,0.0373972951786349
-0.7,0.5,"log","skewness","B",0.617461892692045,0.0441843918285524
-0.7,0.5,"log","kurtosis","A",1.44397413962708,0.0377219844507282
-0.7,0.5,"log","kurtosis","B",1.92231839434411,0.0775740143184649
-0.7,0.5,"tangent","skewness","A",0.0694714548230017,0.0403909359954432
-0.7,0.5,"tangent","skewness","B",0.266693819593772,0.0456753690542885
-0.7,0.5,"tangent","kurtosis","A",1.10070916882278,0.0211521039414074
-0.7,0.5,"tangent","kurtosis","B",1.24362259831415,0.0403226488476629
-0.7,0.5,"arcsine","skewness","A",1.63633994327722,0.0630131158500752
-0.7,0.5,"arcsine","skewness","B",1.99930822237394,0.0706292864468082
-0.7,0.5,"arcsine","kurtosis","A",5.23042276699407,0.31656441113361
-0.7,0.5,"arcsine","kurtosis","B",7.17311641768506,0.465508160449305
-0.7,0.5,"dual_group_logit","skewness","A",0.376420287876629,0.0374242985530872
-0.7,0.5,"dual_group_logit","skewness","B",0.639521167610014,0.0438631418140786
